$Proto-Tangkhulic?, Ukhrul
s aː m , s a m 
h w ɨ , f u 
j o n , j o n 
k o l , k u j 
m e j , m e j 
bʷ o n , w o n 
t͡s i ŋ , t͡s i ŋ 
r a , r a 
l u ŋ , l u ŋ 
j u ŋ , j u ŋ 
d ɨ , r u 
l o w , l u j 
p r a j , p a j 
r u , r u 
pʷ a k , v a k 
ʃ u , ʃ u 
l a j , l a j 
bʷ a , v a 
s o j , s u j 
k a w , k a w 
k o , k o 
t͡s aː n , t͡s ɐ n 
c a r , c ɐ r 
tʰ ɐ r , tʰ ɐ r 
r aː p , r a p 
n a ŋ , n ɐ 
t a ŋ , t ɐ ŋ 
k a k , k ɐ k 
k a j , k a j 
ʃ i m , ʃ i m 
d u ŋ , r u ŋ 
t a , t a 
tʰ e j , tʰ e j 
d l e k , t e k 
h a , h a 
kʰ o ŋ , kʰ o ŋ 
a r , h ɐ r 
kʰ a w , kʰ a w 
c o n , c o n 
m e j , m e j 
l e j , l e j 
tʰ i n , tʰ i n 
c o w , c u j 
ʔ i , ʔ i 
n a p , n ɐ p 
j w o r , j o r 
ŋ o m , ŋ o m 
n a w , n a w 
l i ŋ , l i ŋ 
s a m , s ɐ m 
c o w , c u j 
r e w , r e w 
l o , l o 
tʰ i , tʰ i 
l u m , l u m 
ʃ u k , ʃ u k 
kʰ a j , kʰ a j 
s aː ŋ , s a ŋ 
r uː l , r u 
p r i m , p i m 
kʰ o j , kʰ u j 
pʰ u ŋ , pʰ u ŋ 
tʰ i ŋ , tʰ i ŋ 
k o w , k u j 
n i , n i 
n a j , n a j 
k o ŋ , k o ŋ 
tʰ i , tʰ i 
n ɨ , n u 
t͡s i , c i 
p a m , p ɐ m 
pʰ a , pʰ a 
d e ŋ , r e ŋ 
s a m , s ɐ m 
l e j , l e j 
ʃ a t , ʃ a t 
t a j , t a j 
ŋ a j , n a j 
p o j , p u j 
tʰ i k , tʰ i k 
t͡s e r , c o r 
n i , n i 
tʰ u m , tʰ u m 
r o k , r o k 
l u ŋ , l u ŋ 
kʰ u r , kʰ u r 
j a , j a 
p i , p i 
kʰ u m , kʰ u m 
j a , j a 
m i , m i 
r u k , r u k 
d a , r a 
ʃ a j , ʃ a j 
t a t , t ɐ t 
c a j , c a j 
ŋ u n , ŋ u n 
r a m , r ɐ m 
l a t , l ɐ t 
ʃ a ŋ , ʃ ɐ ŋ 
ʃ uː r , ʃ u r 
d a r , r ɐ r 
s a , s a 
n i m , n i m 
m a ŋ , m ɐ ŋ 
n a j , n a j 
m e j , m e j 
k u m , k u m 
h a n , h ɐ n 
p u , f u 
kʰ a , kʰ a 
m a j , m a j 
t o w , t o 
t͡s e j , t͡s e j 
m o w , m u j 
m a ŋ , m ɐ ŋ 
r a m , r ɐ m 
t͡s a r , t͡s ɐ r 
h a k , h ɐ k 
t l o w , t u j 
h r i , r i 
d u , r u 
kʰ ɐ m , kʰ a m 
tʰ u k , tʰ u k 
pʷ ɨ , v u 
d i k , r i k 
b aː n , p a ŋ 
n i , n i 
n u , n u 
w u , v u 
c o n , c o n 
h w a , h a 
kʰ e j , kʰ e j 
ʃ i m , ʃ i m 
m aː k , m a k 
bʷ u , w o 
tʰ a a w , tʰ a w 
h a j , h a j 
tʰ ɨ , tʰ u 
p l a j , p a j 
pʰ e j , pʰ e j 
h a n , h ɐ n 
n a k , n ɐ k 
kʰ u k , kʰ u k 
tʰ e j , tʰ e j 
c i a ŋ , c a ŋ 
a m , h ɐ m 
l e j , l e j 
kʰ a k , kʰ ɐ k 
m e j , m e j 
ʃ a ŋ , ʃ ɐ ŋ 
ʔ a , ʔ a 
pʰ a n , pʰ ɐ n 
l a , l a 
r i k , r i k 
h o j , h u j 
ʃ ɐ ŋ , ʃ ɐ ŋ 
h o , h o 
ʃ u ŋ , ʃ u ŋ 
ʃ u t , ʃ u t 
m u k , m u k 
l aː ŋ , l ɐ ŋ 
s i , s i 
t͡s a ŋ , t͡s ɐ ŋ 
