etID  | Input | Proto-Kachai-Ukhrul | Proto-Kachai I | Proto-Kachai II  | Output {GOLD}
33     | #mor# | #mor# | #mor# | #mor# | #mor# {GOLD: #mor#}
34     | #t͡ser# | #t͡ser# | #t͡sir# | #ðir# | #ðir# {GOLD: #cir#}
35     | #ʃaj# | #ʃaj# | #ʃaj# | #ʃaj# | #ʃaj# {GOLD: #ʃwe#}
36     | #t͡sa# | #t͡sa# | #t͡sa# | #ða# | #ða# {GOLD: #ðu#}
37     | #maŋ# | #maŋ# | #maŋ# | #maŋ# | #ma# {GOLD: #ma#}
38     | #caŋ# | #caŋ# | #caŋ# | #caŋ# | #ca# {GOLD: #ca#}
39     | #caam# | #caːm# | #caːm# | #caːm# | #com# {GOLD: #com#}
40     | #ham# | #ham# | #ham# | #ham# | #ham# {GOLD: #ham#}
41     | #lej# | #lej# | #lej# | #lej# | #lej# {GOLD: #li#}
42     | #tlow# | #tow# | #tow# | #tow# | #tow# {GOLD: #te#}
43     | #lek# | #lek# | #lek# | #lek# | #lek# {GOLD: #lek#}
44     | #caj# | #caj# | #caj# | #caj# | #caj# {GOLD: #ce#}
45     | #ha# | #ha# | #ha# | #ha# | #ha# {GOLD: #fu#}
46     | #pʷɨ# | #wɨ# | #wɨ# | #wɨ# | #wɨ# {GOLD: #we#}
47     | #kej# | #kej# | #kej# | #kej# | #kej# {GOLD: #ki#}
48     | #kʰa# | #kʰa# | #kʰa# | #kʰa# | #kʰa# {GOLD: #kʰu#}
49     | #rok# | #rok# | #rok# | #rok# | #rok# {GOLD: #rɐk#}
50     | #raap# | #raːp# | #raːp# | #raːp# | #rop# {GOLD: #rop#}
51     | #nu# | #nu# | #nu# | #nu# | #nu# {GOLD: #nɐ#}
52     | #kʰum# | #kʰum# | #kʰum# | #kʰum# | #kʰum# {GOLD: #kʰum#}
53     | #pʰen# | #pʰen# | #pʰin# | #pʰin# | #pʰin# {GOLD: #pʰɐn#}
54     | #laj# | #laj# | #laj# | #laj# | #laj# {GOLD: #le#}
55     | #bɐ# | #pɐ# | #pɐ# | #pɐ# | #pɐ# {GOLD: #pu#}
56     | #mej# | #mej# | #mej# | #mej# | #mej# {GOLD: #mi#}
57     | #baan# | #paːn# | #paːn# | #paːn# | #pon# {GOLD: #pon#}
58     | #ja# | #ja# | #ja# | #ja# | #ja# {GOLD: #ju#}
59     | #kʰuk# | #kʰuk# | #kʰuk# | #kʰuk# | #kʰuk# {GOLD: #kʰuk#}
60     | #pʰej# | #pʰej# | #pʰej# | #pʰej# | #pʰej# {GOLD: #pʰi#}
61     | #sam# | #sam# | #sam# | #sam# | #sam# {GOLD: #sam#}
62     | #hwa# | #ha# | #ha# | #ha# | #ha# {GOLD: #fu#}
63     | #tʰaw# | #tʰaw# | #tʰaw# | #tʰaw# | #tʰaw# {GOLD: #tʰo#}
64     | #ru# | #ru# | #ru# | #ru# | #ru# {GOLD: #rɐ#}
65     | #ʃi# | #ʃi# | #ʃi# | #ʃi# | #ʃi# {GOLD: #sɐ#}
66     | #sun# | #sun# | #sun# | #sun# | #sun# {GOLD: #sun#}
67     | #pʰaar# | #pʰaːr# | #pʰaːr# | #pʰaːr# | #pʰor# {GOLD: #pʰor#}
68     | #kʰak# | #kʰak# | #kʰak# | #kʰak# | #kʰak# {GOLD: #kʰak#}
69     | #pʰan# | #pʰan# | #pʰan# | #pʰan# | #pʰan# {GOLD: #pʰɐn#}
70     | #luŋ# | #luŋ# | #luŋ# | #luŋ# | #luŋ# {GOLD: #luŋ#}
71     | #tʰi# | #tʰi# | #tʰi# | #t͡si# | #t͡si# {GOLD: #tʰɐ#}
72     | #kal# | #kal# | #kal# | #kal# | #kal# {GOLD: #ki#}
73     | #ril# | #ril# | #ril# | #ril# | #ril# {GOLD: #rɐ#}
74     | #baal# | #paːl# | #paːl# | #paːl# | #pol# {GOLD: #pwe#}
75     | #dɨ# | #ðɨ# | #ðɨ# | #ðɨ# | #ðɨ# {GOLD: #ði#}
76     | #kʰa# | #kʰa# | #kʰa# | #kʰa# | #kʰa# {GOLD: #kʰu#}
77     | #nɨ# | #nɨ# | #nɨ# | #nɨ# | #nɨ# {GOLD: #ni#}
78     | #t͡sa# | #t͡sa# | #t͡sa# | #ða# | #ða# {GOLD: #ðu#}
79     | #la# | #la# | #la# | #la# | #la# {GOLD: #lu#}
80     | #hwa# | #ha# | #ha# | #ha# | #ha# {GOLD: #fu#}
81     | #kʰaj# | #kʰaj# | #kʰaj# | #kʰaj# | #kʰaj# {GOLD: #kʰwe#}
82     | #prim# | #pim# | #pim# | #pim# | #pim# {GOLD: #pim#}
83     | #si# | #si# | #si# | #si# | #si# {GOLD: #sɐ#}
84     | #sum# | #sum# | #sum# | #sum# | #sum# {GOLD: #ʃim#}
85     | #kow# | #kow# | #kow# | #kow# | #kow# {GOLD: #kwe#}
86     | #nam# | #nam# | #nam# | #nam# | #nam# {GOLD: #nam#}
87     | #kʰɐm# | #kʰɐm# | #kʰɐm# | #kʰɐm# | #kʰɐm# {GOLD: #kʰam#}
88     | #t͡sej# | #t͡sej# | #t͡sej# | #ðej# | #ðej# {GOLD: #ði#}
89     | #roŋ# | #roŋ# | #roŋ# | #roŋ# | #roŋ# {GOLD: #roŋ#}
90     | #am# | #ham# | #ham# | #ham# | #ham# {GOLD: #ham#}
91     | #ca# | #ca# | #ca# | #ca# | #ca# {GOLD: #cu#}
92     | #ri# | #ri# | #ri# | #ri# | #ri# {GOLD: #rɐ#}
93     | #t͡siŋ# | #t͡siŋ# | #t͡siŋ# | #ðiŋ# | #ðiŋ# {GOLD: #ðɐŋ#}
94     | #kum# | #kum# | #kum# | #kum# | #kum# {GOLD: #kum#}
95     | #mej# | #mej# | #mej# | #mej# | #mej# {GOLD: #mi#}
96     | #kʰut# | #kʰut# | #kʰut# | #kʰut# | #kʰut# {GOLD: #kʰut#}
97     | #la# | #la# | #la# | #la# | #la# {GOLD: #lu#}
98     | #dik# | #ðik# | #ðik# | #ðik# | #ðik# {GOLD: #ðɐk#}
99     | #cow# | #cow# | #cow# | #cow# | #cow# {GOLD: #ce#}
100    | #dɨ# | #ðɨ# | #ðɨ# | #ðɨ# | #ðɨ# {GOLD: #ði#}
101    | #pʰuŋ# | #pʰuŋ# | #pʰuŋ# | #pʰuŋ# | #pʰuŋ# {GOLD: #pʰuŋ#}
102    | #luŋ# | #luŋ# | #luŋ# | #luŋ# | #luŋ# {GOLD: #luŋ#}
103    | #kʰur# | #kʰur# | #kʰur# | #kʰur# | #kʰur# {GOLD: #kʰur#}
104    | #t͡si# | #t͡si# | #t͡si# | #t͡si# | #t͡si# {GOLD: #t͡sɐ#}
105    | #ri# | #ri# | #ri# | #ri# | #ri# {GOLD: #rɐ#}
106    | #ni# | #ni# | #ni# | #ni# | #ni# {GOLD: #nɐ#}
107    | #tʰum# | #tʰum# | #tʰum# | #tʰum# | #tʰum# {GOLD: #tʰum#}
108    | #tli# | #ti# | #ti# | #t͡si# | #t͡si# {GOLD: #t͡sɐ#}
109    | #ŋa# | #ŋa# | #ŋa# | #ŋa# | #ŋa# {GOLD: #ŋɐ#}
110    | #ruk# | #ruk# | #ruk# | #ruk# | #ruk# {GOLD: #ruk#}
111    | #ni# | #ni# | #ni# | #ni# | #ni# {GOLD: #nɐ#}
112    | #ʃɐt# | #ʃɐt# | #ʃɐt# | #ʃɐt# | #ʃɐt# {GOLD: #ʃit#}
113    | #ko# | #ko# | #ko# | #ko# | #ko# {GOLD: #kɐ#}
114    | #ra# | #ra# | #ra# | #ra# | #ra# {GOLD: #ru#}
115    | #kul# | #kul# | #kul# | #kul# | #kul# {GOLD: #kwi#}
116    | #ʃa# | #ʃa# | #ʃa# | #ʃa# | #ʃa# {GOLD: #ʃu#}
117    | #dar# | #ðar# | #ðar# | #ðar# | #ðar# {GOLD: #ðar#}
118    | #ni# | #ni# | #ni# | #ni# | #ni# {GOLD: #nɐ#}
119    | #moj# | #moj# | #moj# | #moj# | #moj# {GOLD: #mi#}
120    | #pa# | #pa# | #pa# | #pa# | #pa# {GOLD: #pu#}
121    | #ʃaŋ# | #ʃaŋ# | #ʃaŋ# | #ʃaŋ# | #ʃa# {GOLD: #ʃa#}
122    | #la# | #la# | #la# | #la# | #la# {GOLD: #lu#}
123    | #hri# | #ri# | #ri# | #ri# | #ri# {GOLD: #rɐ#}
124    | #maak# | #maːk# | #maːk# | #maːk# | #mok# {GOLD: #mok#}
125    | #mej# | #mej# | #mej# | #mej# | #mej# {GOLD: #mi#}
126    | #du# | #ðu# | #ðu# | #ðu# | #ðu# {GOLD: #ðɐ#}
127    | #naw# | #naw# | #naw# | #naw# | #naw# {GOLD: #no#}
128    | #ram# | #ram# | #ram# | #ram# | #ram# {GOLD: #ram#}
129    | #ʃim# | #ʃim# | #ʃim# | #ʃim# | #ʃim# {GOLD: #ʃim#}
130    | #maŋ# | #maŋ# | #maŋ# | #maŋ# | #ma# {GOLD: #ma#}
131    | #miŋ# | #miŋ# | #miŋ# | #miŋ# | #miŋ# {GOLD: #mɐŋ#}
132    | #na# | #na# | #na# | #na# | #na# {GOLD: #nɐ#}
133    | #juŋ# | #juŋ# | #juŋ# | #juŋ# | #juŋ# {GOLD: #lɐŋ#}
134    | #tʰiŋ# | #tʰiŋ# | #tʰiŋ# | #tʰiŋ# | #tʰiŋ# {GOLD: #tʰɐŋ#}
135    | #tʰej# | #tʰej# | #tʰej# | #tʰej# | #tʰej# {GOLD: #tʰi#}
136    | #hwa# | #ha# | #ha# | #ha# | #ha# {GOLD: #fu#}
137    | #han# | #han# | #han# | #han# | #han# {GOLD: #hɐn#}
138    | #taŋ# | #taŋ# | #taŋ# | #taŋ# | #ta# {GOLD: #ta#}
139    | #waar# | #waːr# | #waːr# | #waːr# | #wor# {GOLD: #hor#}
140    | #hoj# | #hoj# | #hoj# | #hoj# | #hoj# {GOLD: #hi#}
141    | #kaj# | #kaj# | #kaj# | #kaj# | #kaj# {GOLD: #kwe#}
142    | #praj# | #paj# | #paj# | #paj# | #paj# {GOLD: #pwe#}
143    | #tʰej# | #tʰej# | #tʰej# | #tʰej# | #tʰej# {GOLD: #tʰi#}
144    | #lej# | #lej# | #lej# | #lej# | #lej# {GOLD: #li#}
145    | #kup# | #kup# | #kup# | #kup# | #kup# {GOLD: #kup#}
146    | #sam# | #sam# | #sam# | #sam# | #sam# {GOLD: #sam#}
147    | #tʰum# | #tʰum# | #tʰum# | #tʰum# | #tʰum# {GOLD: #tʰum#}
148    | #niŋ# | #niŋ# | #niŋ# | #niŋ# | #niŋ# {GOLD: #nɐŋ#}
149    | #ŋaj# | #ŋaj# | #ŋaj# | #ŋaj# | #ŋaj# {GOLD: #mwe#}
150    | #ja# | #ja# | #ja# | #ja# | #ja# {GOLD: #ju#}
151    | #ka# | #ka# | #ka# | #ka# | #ka# {GOLD: #ku#}
152    | #duŋ# | #ðuŋ# | #ðuŋ# | #ðuŋ# | #ðuŋ# {GOLD: #tuŋ#}
153    | #sa# | #sa# | #sa# | #sa# | #sa# {GOLD: #su#}
154    | #mi# | #mi# | #mi# | #mi# | #mi# {GOLD: #mɐ#}
155    | #con# | #con# | #con# | #con# | #con# {GOLD: #con#}
156    | #li# | #li# | #li# | #li# | #li# {GOLD: #lɐ#}
157    | #tʰat# | #tʰat# | #tʰat# | #tʰat# | #tʰat# {GOLD: #tʰɐt#}
158    | #jap# | #jap# | #jap# | #jap# | #jap# {GOLD: #jap#}
